과밀지수(밀집도),관리년월,대분류명,상권명칭,상권번호,중분류명
0.9608,2017-01,소매,금남로4가역_1,336,가전제품소매
0.8357,2017-01,소매,충북 영동군 영동읍_1,1177,가전제품소매
1.4344,2017-01,소매,백석역_3,2319,가전제품소매
0.2018,2017-01,소매,부산 수영구 민락동_1,366,가전제품소매
3.9928,2017-01,소매,건대입구역,2106,가전제품소매
0.7675,2017-01,소매,부산 기장군 기장읍_2,571,가전제품소매
0.3793,2017-01,소매,서울 종로구 동대문역_2,2228,가전제품소매
3.7090,2017-01,소매,전남 순천시 왕조1동_3,194,가전제품소매
0.1845,2017-01,소매,장한평역_1,2182,가전제품소매
0.4378,2017-01,소매,서산공용버스터미널,1345,가전제품소매
0.2110,2017-01,소매,경북 경주시 안강읍_2,1070,가전제품소매
0.4756,2017-01,소매,백석역_3,2319,가전제품소매
